challenge_name,country,question_number,snippet
lack of funding,TGO,8.1,"Research funding is mainly foreign in origin and highly competitive, with few national mechanisms"
lack of interoperability,TGO,8.1,Scarcity of interoperable and standardized institutional repositories
language barriers,TGO,8.1,Language barriers (French) sometimes limit access to resources and training that are often available in English
nascent research ecosystem,TGO,8.1,Universities and research centers have not yet integrated open science into their internal policies
no legal framework,TGO,8.1,"Copyright laws, personal data management regulations...hinder the free dissemination of research outputs"
no national policy,TGO,8.1,absence of a national law on open science
poor coordination,TGO,8.1,"Limited or poorly coordinated synergies among ministries, universities, libraries"
traditional metrics,TGO,8.1,Research evaluation still dominated by traditional indicators
inadequate infrastructure,TLS,2.2,lack of technical infrastructure to support open science practices
lack of awareness,TLS,2.2,lack of awareness and technical expertise on open science principles
lack of expertise,TLS,2.2,lack of...technical expertise on open science principles
lack of funding,TLS,2.2,funding constraints have hindered investment in open science initiatives
nascent research ecosystem,TLS,2.2,country's still-developing research ecosystem
no national policy,TLS,2.2,absence of a national STI policy
inadequate infrastructure,TLS,2.7,technical infrastructure
lack of awareness,TLS,2.7,limited awareness
no legal framework,TLS,2.7,lack of a formal policy framework requiring open science integration
no national policy,TLS,2.7,the lack of a formal policy framework requiring open science integration within research funding
lack of awareness,TLS,2.8,lack of awareness among private sector stakeholders
no national policy,TLS,2.8,absence of a formal open science policy
no private sector engagement,TLS,2.8,minimal private sector engagement in research activities
geographic challenges,TLS,3.3,scattered population and remote areas
internet connectivity,TLS,3.3,slow internet speeds and limited bandwidth
lack of expertise,TLS,3.3,shortage of specialized technical expertise
lack of funding,TLS,3.3,Financial constraints
no national policy,TLS,3.3,no coordinated national strategy or policy in place
inadequate infrastructure,TLS,4.1,challenges with digital infrastructure including slow internet speeds
institutional fragmentation,TLS,4.1,efforts in this area are often fragmented and ad-hoc
internet connectivity,TLS,4.1,"slow internet speeds, limited access to high-bandwidth networks"
lack of awareness,TLS,4.1,limited awareness and understanding of open science practices
lack of capacity building,TLS,4.1,limited institutional support for systematic capacity building
lack of expertise,TLS,4.1,shortage of specialized expertise and training resources
lack of funding,TLS,4.1,Financial constraints
nascent research ecosystem,TLS,4.1,Open science is still a relatively new concept in the country
inadequate infrastructure,TLS,4.2,"digital infrastructure, which has limited the government's ability"
lack of awareness,TLS,4.2,limited awareness and understanding of open science among policymakers
lack of funding,TLS,4.2,financial constraints
nascent research ecosystem,TLS,4.2,Open science practices are still emerging concepts in the country
inadequate infrastructure,TLS,4.3,digital infrastructure limits access to the tools and resources necessary to teach open science practices effectively
internet connectivity,TLS,4.3,Slow internet speeds and limited access to high-bandwidth networks
lack of awareness,TLS,4.3,lack of awareness and understanding of open science principles among educators
lack of capacity building,TLS,4.3,limited funding for training programs
lack of funding,TLS,4.3,financial and resource constraints
nascent research ecosystem,TLS,4.3,Open science practices are still emerging concepts
inadequate infrastructure,TLS,5.1,lack of...digital infrastructure
lack of awareness,TLS,5.1,awareness and policy integration of open science remain limited
lack of funding,TLS,5.1,"lack of funding, digital infrastructure, and trained personnel"
limited human resources,TLS,5.1,lack of...trained personnel
nascent research ecosystem,TLS,5.1,research ecosystem is still in its early stages of development
no legal framework,TLS,5.1,there is no structured mechanism for assessing research performance based on open science criteria
no national policy,TLS,5.1,no structured mechanism for assessing research performance
traditional metrics,TLS,5.1,Many researchers still rely on traditional assessment methods
lack of funding,TLS,5.2,absence of a national research funding system
nascent research ecosystem,TLS,5.2,research career evaluation frameworks are still underdeveloped
no incentives,TLS,5.2,Researchers often lack incentives to engage in interdisciplinary collaboration
no legal framework,TLS,5.2,There is no standardized mechanism to evaluate researchers based on open-access publishing
traditional metrics,TLS,5.2,Academic institutions primarily assess faculty and researchers based on traditional criteria
IP rights concerns,TLS,5.4,lack of intellectual property (IP) protection and recognition for researchers
inadequate infrastructure,TLS,5.4,limited digital infrastructure
no legal framework,TLS,5.4,lack of a robust legal and institutional framework
security concerns,TLS,5.4,cybersecurity risks pose challenges to open science practices
inadequate infrastructure,TLS,6.1,scientific research infrastructure...remain limited
lack of capacity building,TLS,6.1,Without adequate training and resources the adoption of open science methodologies remains slow
lack of expertise,TLS,6.1,digital infrastructure and technical capacity remain underdeveloped
lack of funding,TLS,6.1,funding remain limited
no legal framework,TLS,6.1,no specific policies that encourage participatory or transparent research processes
no national policy,TLS,6.1,no established national framework for open science governance
inadequate infrastructure,TLS,7.2,research infrastructure...remain limited
lack of awareness,TLS,7.2,limited awareness of open science practices
lack of funding,TLS,7.2,funding remain limited
no legal framework,TLS,7.2,lack of a...regulatory framework
no national policy,TLS,7.2,lack of a national open science policy or regulatory framework
poor coordination,TLS,7.2,collaboration between stakeholders remains informal and uncoordinated
lack of expertise,TLS,7.3,lack of institutional capacity and technical expertise
lack of funding,TLS,7.3,most funding for scientific research coming from external sources
nascent research ecosystem,TLS,7.3,research ecosystem is still developing
no national policy,TLS,7.3,absence of a national open science policy
internet connectivity,TLS,8.1,digital infrastructure and internet connectivity challenges
lack of funding,TLS,8.1,relies heavily on external funding...Without dedicated financial mechanisms
language barriers,TLS,8.1,language barriers and access to global scientific literature
poor coordination,TLS,8.1,lack of regional frameworks for open science collaboration
small country scale,TLS,8.1,As a small developing nation Timor-Leste relies heavily on external funding
predatory publishing,TUN,5.4,publications in predatory journals
lack of funding,TUN,8.1,Making research data and results accessible largely depends on international funding
publishing costs,TUN,8.1,International commercial publishers impose high costs to publish in open access (APCs)
inadequate infrastructure,TUR,2.2,infrastructure and institutions required to spread open science practices are still in the development stage
lack of funding,TUR,2.2,Investments and allocation of resources related to open science may not have been prioritized
lack of planning,TUR,2.2,Developing scientific policies sometimes requires long processes
limited human resources,TUR,2.2,It is difficult to find responsible people in institutions
poor coordination,TUR,2.2,Inter-institutional coordination is weak in Türkiye
inadequate infrastructure,TUR,2.4,infrastructure and institutions required to spread open science practices are still in the development stage
lack of funding,TUR,2.4,Investments and allocation of resources related to open science may not have been prioritized
lack of planning,TUR,2.4,Developing scientific policies sometimes requires long processes
poor coordination,TUR,2.4,strong cooperation and coordination between all stakeholders is required
IP rights concerns,TZA,8.1,concerns over intellectual property rights
inadequate infrastructure,TZA,8.1,Inadequate digital infrastructure particularly unreliable internet access
internet connectivity,TZA,8.1,unreliable internet access
lack of awareness,TZA,8.1,lack of awareness and training on the benefits of open science
lack of funding,TZA,8.1,Financial constraints often limit funding for open science
no national policy,TZA,8.1,existing national and regional policies may not fully support open science
security concerns,TZA,8.1,data privacy
lack of expertise,UGA,1.4,need for experts
lack of funding,UGA,1.4,funding which the National Commission may not be able to muster
limited human resources,UGA,1.4,There is need for experts high-level inter-ministerial involvement and funding
poor coordination,UGA,1.4,high-level inter-ministerial involvement
lack of expertise,UGA,2.3,may need some special expertise to develop the relevant policy instruments
lack of expertise,UGA,2.4,may need some special expertise to develop the relevant policy instruments
war,UKR,2.6,protracted war in the country
war,UKR,2.8,the war
war,UKR,4.2,the war
lack of awareness,UKR,4.3,low awareness of open science
war,UKR,4.3,restrictions of the state of war
lack of awareness,UKR,4.5,low awareness of open science principles outside the circle of open science enthusiasts
war,UKR,4.5,war
inadequate infrastructure,UKR,5.3,lack of infrastructure for open science (repositories of data)
no incentives,UKR,5.3,makes it impossible to introduce recognition and rewards
nascent research ecosystem,UKR,6.1,current level of implementation of open science practices is low
war,UKR,7.2,the war
competing priorities,ZAF,4.2,National policy directives focussing more on profit making than on freely sharing knowledge
no national policy,ZAF,4.2,National policy directives focussing more on profit making than on freely sharing knowledge
competing priorities,ZAF,8.1,Country more geared towards saving money
cultural resistance,ZAF,8.1,General buy-in from the Academic community
lack of awareness,ZAF,8.1,"Colonial history which has influences how research, science and the academic enterprise is conducted"
lack of funding,ZAF,8.1,General lack of available national research funding
no national roadmap,ZAF,8.1,Academic Libraries should be given the opportunity to lead...and to influence the national strategy
