Country,Q1.4 Challenges in undertaking specific actions to incorporate the values and principles of OS,Q2.2.1 Challenges in establishing a legal framework that adresses OS,Q2.3.1 Challenges in establishing policy instruments to promote OS,Q2.4.1 Challenges in establishing institutional policies for OS,Q2.6.1 Challenges in establishing specific funding mechanisms for OS,Q2.7.1 Challenges in integrating OS within research funding mechanisms,Q2.8.1 Challenges in establishing PPP on OS,Q3.3 Challenges in establishing NRENs,Q3.4.5 Challenges in establishing OS infrastructures,Q4.1.1 Challenges related to OS capacity building in HE & research institutions,Q4.2.1 Challenges related to  OS capacity building for policymakers,Q4.3.1 Challenges in incorporating OS competencies framework in HE,Q4.5.1 Challenges in promoting science communication in line with OS values,Q5.1.1 Challenges in establishing initiatives to review research assessment to align with OS,Q5.2.1 Challenges in integrating OS in career evaluation & progression,Q5.3.1 Challenges in establishing initiatives to recognise and reward OS,Q5.4.1 Negative consequences,"Q6.1.7 Challenges in establishing innovative, participatory OS practices across the research cycle ",Q7.2.1 Challenges in establishing a strategy for cross-border OS collab,Q7.3.1  Challenges in establishing regional/intl. funding mechanisms for OS,Q8.1.1 External challenges for OS implementation ?
Netherlands (Kingdom of the),,,,,,,,,,,,,,,,,"shift from `pay to read’ to `pay  to publish’ business models, including risen Article Processing Costs...For the Global South this shift is even harder to bear. ",,,,"due to upcoming general budget cuts, there will be less budget available for the transition to open science than initially anticipated"
Niger,Delay in the designation of the open science focal point; lack of training for the focal point; weak dissemination of the values and principles of open science; lack of a strategy for disseminating the values and principles of open science. ,,,,,,,,,,,The recommendations on open science are not yet operational. ,,,,,,,,,
Nigeria,,,,,There is very little knowledge about open science. A lot of what has been done in open science have been more by accident than deliberate. ,Open Science practices are still being viewed as new; the requisite awareness ,,,,,"Fragmented Awareness Efforts: While organizations like WACREN and LIBSENSE promote open science in academia, there is no coordinated capacity-building initiative targeting government officials responsible for policy formulation. Resource Constraints: The absence of dedicated funding and institutional mechanisms has hindered the implementation of formal training programs for policymakers on open science. Need for Strategic Policy Reform: Current policy frameworks do not explicitly mandate capacity-building programs for policymakers in open science, resulting in a gap in awareness and implementation at the decision-making level. Open science is not yet a central component of STI policy framework",,,,,"Limited Institutional Incentives: Many universities and research institutions still prioritize traditional research output metrics (such as journal impact factors and citation counts) over open science contributions (such as open-access publications, data sharing, and reproducibility efforts). tenure and promotion criteria in most universities and research institutions do not yet formally recognize open science contributions as a key assessment metric. Funding Constraints and Competing Priorities: Funding for research and development is grossly  limited, and most available funding is directed toward core scientific research rather than establishing incentive mechanisms for open science adoption. Absence of Institutional Collaboration for Reward Mechanisms: Nigeria lacks a multi-stakeholder framework that brings together government agencies, academic institutions, and private sector players to drive such initiatives. Lack of Awareness and Cultural Shift Challenges: Many researchers are still unfamiliar with the benefits of open science and the role that recognition and incentives can play in encouraging its adoption. There is resistance among some scholars who fear that open science practices may undermine their competitive advantage or intellectual property rights.","Intellectual Property (IP) and Commercialization Concerns: Open science promotes free access to research data, publications, and findings, but researchers in Nigeria express concerns about losing potential patents or commercial opportunities. Also, there is a lack of clear guidelines on how to balance open access with intellectual property protection, particularly in applied research fields like biotechnology and engineering. Risk of Data Misuse and Misinterpretation: Without proper oversight, publicly available research data may be misused, misinterpreted, or taken out of context, leading to misinformation.This is particularly relevant in sensitive fields such as health research, where misrepresented data can lead to false claims or harmful public policy decisions. Predatory Journals and Low-Quality Research: The push for open-access publishing has led to an increase in predatory journals that charge publication fees without proper peer review. Many Nigerian researchers, particularly early-career scientists, may fall victim to these journals, which can compromise research credibility. Digital Divide and Unequal Access: While open science promotes inclusivity, there are disparities in internet access and digital literacy across Nigeria, limiting some researchers’ ability to engage fully in open science practices. Researchers in rural areas and underfunded institutions may struggle to participate in global open science initiatives due to inadequate infrastructure. ",,,,"Insufficient Funding for Open Science Initiatives: Many universities and research institutions lack dedicated funding to develop open-access repositories and maintain compliance with open science policies. Intellectual Property (IP) and Copyright Concerns: Researchers and institutions sometimes hesitate to fully embrace open science due to concerns about intellectual property rights, data security, and potential misuse of research outputs. Limited International Collaboration and Technology Transfer: Nigeria's participation in global open science networks is still developing, with limited South-South and North-South collaborations. Aside from UNESCO, the lack of agreements with major international research bodies restricts access to global funding and knowledge exchange. "
North Macedonia,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,,,,,,,,,,,,"This is mostly related to reporting of predatory journals to the Norwegian Register of Scientific Publishing Channels which is a register of recommended publication channels and as a
gatekeeper against unreliable channels and those operating in the gray-zone",,,,
Pakistan,,,,,,,,,,,,,,,,,"anecdotal concerns have occasionally emerged, particularly around issues such as: Intellectual Property and Data Security, Quality Assurance, and Digital Divide",,,,"One of the primary issues is the limited access to international funding mechanisms specifically dedicated to open science initiatives. Without sustained external financial support, scaling infrastructure, developing open-access platforms, and training researchers may progress more slowly. Additionally, unequal access to global research infrastructure such as high-end digital repositories, open-source software, and collaborative platforms can hinder effective participation in international open science practices. Pakistan’s research institutions often rely on foreign technologies and platforms, which may come with access restrictions, subscription costs, or licensing limitations that affect openness and interoperability. Another key external barrier is the lack of globally harmonized standards for open science data sharing and governance. This can create legal, ethical, and technical uncertainties when collaborating across borders, especially in joint research and data exchange. "
Peru,,,,,,,The feasibility of implementing public-private partnerships for this  purpose has not yet been assessed.,,,,,,,,,,,,,,
Philippines,,,,,,,,,,,,,,,,,,,,,"data and sample sharing concerns or limitations of other countries and
expensive publication fees in journals"
Portugal,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,,,"Geopolitical tensions, such as the 2017 blockade of Qatar, have disrupted regional research collaborations. These disruptions hinder the free exchange of knowledge and resources, which are essential for open science. Such political challenges can undermine the effectiveness of open science initiatives by restricting access to collaborative opportunities and shared infrastructure. While English is commonly used in scientific communication, making open science resources and research outputs accessible to a wider Arabic-speaking audience in Qatar may pose a challenge. This limitation could decrease the reach and impact of open science within the local community. Open data sharing can pose risks of exposing sensitive information and violating privacy if datasets, such as survey results, are not properly anonymized. This risk compromises individual privacy and may lead to legal violations, especially when dealing with personal opinions, health data, or political affiliations. Therefore, researchers must prioritize ethical and legal compliance in data sharing to safeguard participants' rights. Openly accessible datasets, if poorly managed, risk misuse like political manipulation or commercial exploitation. Clear data governance policies and ethical guidelines are crucial for responsible open data use. Early-career researchers in Qatar might struggle with open science adoption as current academic evaluations favor traditional metrics (publication count, impact factor) over transparency and collaboration. The push for open science may compel researchers, particularly those early in their careers, to share findings (such as preprints or open data) before undergoing thorough peer review. This could result in the dissemination of unverified information within Qatar's research and public domains. In certain fields within Qatar, where international competition is intense, researchers may be reluctant to openly share early findings or data due to concerns about being ""scooped"" by researchers from other countries that have more established practices in open science. ",,,,"Open science initiatives often require significant resources, including funding, infrastructure, and human capital, which can be burdensome for under-resourced institutions and countries. The transition to open-access publishing is costly, as the burden moves from readers to the authors who pay publication fees…Significantly, open access to research findings potentially poses risks related to intellectual property rights, leading to disputes or discouraging innovation due to fears of intellectual property theft. With KTPs, there was an initial reluctance for companies to share their work due to owned IP, and solving this problem led to ‘non-disclosure clauses’, which effectively defeat the open science aim. With increased openness, there is a risk of disseminating low-quality or unverified research, which could undermine trust in scientific outputs. Lack of quality control means some researchers and/or institutions may resist changing traditional practices fearing reputational risks associated with sharing preliminary or inconclusive results. While open science aims to reduce inequalities, disparities in digital infrastructure across regions can limit access and participation for some communities…Open datasets can potentially be misused if proper guidelines and ethical standards are not followed, leading to incorrect interpretations or harmful applications. Furthermore, ensuring privacy and security of data, especially personal or sensitive information, can be a major challenge with open science. Ensuring the long-term sustainability of open science initiatives requires ongoing commitment and investment, which can be challenging to maintain. Added to this there is an administrative burden for developing and enforcing open science policies and practices which may detract from research time and productivity. All come at a cost! Disparities in digital infrastructure across regions provides a further challenge, illustrated by UNICEF’s proposed Global Centre of Digital Education. With MoFA and stakeholders on board, lack of clarity/assurance on long term funding has resulted in the project being delayed. Open access publications have placed a burden on educational institutions with professors expecting universities to fund their publications, often without initial discussions. A scheme to publish research by Qatar based academics by Qatar National Library ran out of money within the year, leaving academics to source alternative funding for publication. The demand and cost are very high and maybe unsustainable in the long term. there is the potential for researchers to exploit the system and not behave ethically, for example, letting a Qatar based academic submit a journal paper as part of a team on research in another country and getting QNL to fund the publication. "
Republic of Korea,,,,,,,,,,,,,,,,,"Along with the growth of open access journals, the problems of predatory journals and conferences intensified.",,,,
Romania,,,,,,,,,,,,,,,,,"In 2021, debates have sparkled around the rising trend of publishing in Open Access in
MDPI. The public debates were carried about the quality and impact of such publications,
especially considering MDPI's rapid expansion and the proliferation of some special
issues, which some argue may compromise academic standards. Additionally,
discussions on certain media and opinions platforms have delved into the broader
implications of open access publishing and concerns have been raised about the financial
burden placed on institutions and the potential shift in focus from research quality to
quantity, driven by the need to cover publication fees and achieve higher output metrics.",,,,
Russian Federation,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,"Key challenges include the risks of predatory behaviors, the potential exploitation of research data, and the increased financial burden on researchers, such as high article processing charges. These issues may exacerbate inequalities within the scientific community, making it harder for early-career researchers and smaller institutions to fully engage in open science practices. Moreover, concerns over intellectual property rights and data security have been raised, given the increased openness and sharing of scientific outputs. Additionally, the shift toward open science practices may complicate
traditional research assessment systems, which are still evolving to align with the
new frameworks of openness. This transition requires significant resources and
changes in academic output metrics, which can cause friction, especially when
universities and institutions feel pressure from global rankings that emphasize
traditional research outputs like publications and citations.",,,,"Lack of Open Science Regulatory Frameworks: There is an imperative to establish formal policies and frameworks that explicitly advocate for the integration of open science principles into existing research funding mechanisms, in alignment with the 2021 UNESCO Recommendation. Lack of National Alignment: Currently, there is an absence of a national framework or incentives that support private companies in developing funding mechanisms for open science, which complicates the justification and internal implementation of such funding. Limited Awareness: There is a significant gap in the widespread understanding of open science principles among researchers and stakeholders, compounded by challenges in allocating the necessary resources for awareness and training initiatives. Resource Limitations: The allocation of funds specifically for open science initiatives presents financial challenges, as there is a pressing need to prioritize projects that directly enhance the competitive positioning of the private sector in the marketplace. Coordination Issues: It is essential to ensure alignment with both national and international standards while effectively addressing local needs. Proprietary Concerns: There are apprehensions regarding the sharing of proprietary information, which could potentially undermine the market advantage of private sectors within a competitive industry."
Senegal,,,,,,,,,,,,,,,,,Lack of political engagement and a specific legal framework… Lack of dedicated funding… Absence of a clear legal framework…  Low initial awareness… Fragmentation of initiatives… Digital technologies,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,
Slovakia,,,,,,"Difficult and fragmented organizational structure of grant agencies, where each organization has a different system and different priorities.",,,,the fragmentation of the system,,,,,,,High article processing charges associated with gold OA business models in scientific publishing,,,,Potencial shortage of research funding
Slovenia,,,,,,,,,,,,,,,,,"the transition to open science is
a technically and financially demanding endeavour that requires significant additional resources and efforts including cultural change. These factors are slowing down the changes.",,,,
South Africa,,,,,,,,,,,National policy directives focussing more on profit making than on freely sharing knowledge.,,,,,,,,,,"General by-in from the Academic community. Shifting of responsibilities by all the stakeholders involved. Financial constraints. Colonial history which has influences how research, science and the academic enterprise is conducted. Academic Libraries should be given the opportunity to lead this in their respective institution and to influence the national strategy. General lack of available national research funding to support Open Science and Open Access publications. Country more geared towards saving money and making Open Science fund-sourcing a problem of the researchers themselves"
State of Palestine,,"a lack of awareness and understanding of open science principles among policymakers, insufficient funding for open science initiatives, and the absence of a legal framework to support open data sharing, open access publishing, and collaborative research. Additionally, there is limited infrastructure for implementing open science practices, and existing research policies do not explicitly address the need for open science.  ","limited resources allocated to such initiatives, and the lack of clear indicators or goals for evaluating their effectiveness.",,a lack of awareness about the importance of such initiatives and insufficient alignment of national research funding priorities with open science principles. a limited budget...which hinders the development of sustainable open science practices. ,,"limited awareness of the importance of open science in both public and private sectors, a lack of clear incentives for private companies to engage in open science practices, and the absence of formal frameworks to encourage collaboration in this area. the public sector has limited capacity and resources to engage with private companies on open science initiatives, and private sector players may not yet see the direct benefits of contributing to open access, open data, and collaborative research practices.",,,"Limited Institutional Frameworks – There is no comprehensive national policy or strategy that mandates open science practices, leading to inconsistent efforts across institutions. Funding Constraints – The lack of dedicated financial support for open science training and infrastructure hinders the ability of universities and research centers to develop systematic capacity-building programs. Technical and Infrastructure Barriers – Limited access to advanced digital repositories, data-sharing platforms, and high-speed internet in some areas makes the implementation of open science practices challenging. Awareness and Cultural Shifts – Many researchers and institutions still follow traditional publishing and data-sharing models. ","Absence of a National Open Science Strategy – There is no formalized national framework that mandates training for policymakers on open science. Limited Financial and Technical Resources – Funding constraints and the absence of dedicated resources hinder the development and execution of specialized training programs. Competing Priorities – Policymakers are often engaged with pressing national issues, and open science capacity-building has not yet been prioritized at the policy level. Lack of Awareness and Expertise – Many policymakers may not be fully aware of the benefits of open science or how to integrate it into STI policies effectively. ",,,"Traditional Research Assessment Models – Current evaluation processes prioritize conventional metrics such as journal impact factors and citation counts, with limited emphasis on open science practices like open access publishing and data sharing. Lack of Institutional Policies – Universities and research institutions have yet to adopt formal policies integrating open science into research assessment frameworks. Resource and Capacity Constraints – Limited funding and expertise make it challenging to implement reforms in research evaluation that support open science. Awareness and Cultural Barriers – Many researchers and institutions are accustomed to traditional assessment criteria, and there is resistance to shifting towards open science-aligned evaluation systems.",,,,,,,Palestine is still under the Israeli occupation and will suffer for long due to the war in Gaza.
Sweden,,,,,,,,,,,,,,,,,,,,,
Switzerland,,,,,,,,,,,Obstacles may include competing priorities within policymaking bodies as well as a gap in awareness in these communities regarding the importance of including Open Science into national policies.,,,,,,,,,,"Switzerland is a federal country with a decentralized culture of governance. This extends to the research sector. The UNESCO Recommendation cannot be implemented as a single, top-down process, but requires that all actors in the Swiss research ecosystem (ministry, national-level entities, higher-education institutions), engage with it and implement it at their level."
Thailand,,,,,,,,,,,,,,,,,,,,,
Timor-Leste,,"due to the country’s still-developing research ecosystem, limited institutional capacity, and lack of technical infrastructure to support open science practices. One of the main challenges is the limited digital and research infrastructure, which makes it difficult to establish open-access repositories, data-sharing platforms, and collaborative research networks. Additionally, funding constraints have hindered investment in open science initiatives, as research funding is largely dependent on external sources, often tied to specific donor-driven priorities rather than a national open science agenda...the lack of awareness and technical expertise on open science principles among researchers and policymakers...there has been limited advocacy for the development of open science policies. the absence of a national STI policy has contributed to the delay in formalizing open science governance...further investment, capacity-building, and international partnerships will be necessary to establish a comprehensive national policy on open science in the future.",,,,the lack of a formal policy framework requiring open science integration within research funding. limited awareness and technical infrastructure. ,"absence of a formal open science policy, a lack of awareness among private sector stakeholders, and limited research investment from private enterprises. most scientific research is government-funded, with minimal private sector engagement in research activities. ","The country’s digital infrastructure, including internet connectivity and broadband access, is still in the developmental stage, with slow internet speeds and limited bandwidth. Financial constraints also play a significant role, limited resources to invest in large-scale infrastructure projects like an NREN. a shortage of specialized technical expertise needed to design, implement, and maintain such networks. Geographically, Timor-Leste faces challenges due to its scattered population and remote areas, making widespread, reliable internet access difficult. there is no coordinated national strategy or policy in place specifically aimed at developing an NREN. ",,"limited awareness and understanding of open science practices within many academic and research institutions. Open science is still a relatively new concept in the country. shortage of specialized expertise and training resources in this area. challenges with digital infrastructure, including slow internet speeds, limited access to high-bandwidth networks, and insufficient research platforms. Financial constraints...to invest in programs that would build capacity for open science, such as training, workshops, and the development of necessary infrastructure. limited institutional support for systematic capacity building in open science, and efforts in this area are often fragmented and ad-hoc. ","limited awareness and understanding of open science among policymakers. Open science practices are still emerging concepts in the country, and the integration of these principles into national policies has not been a priority. digital infrastructure, which has limited the government's ability to fully engage with or promote open science. Without a solid digital foundation, policymakers may not fully recognize the value or feasibility of incorporating open science principles into STI strategies. financial constraints, which hinder the development of specific capacity-building programs targeting policymakers. Limited resources also impact the creation of the necessary tools, platforms, and training programs to support such initiatives.","lack of awareness and understanding of open science principles among educators and institutions. Open science practices are still emerging concepts in the country, and they have not yet been integrated into the academic curriculum. digital infrastructure, which limits access to the tools and resources necessary to teach open science practices effectively. Slow internet speeds and limited access to high-bandwidth networks further complicate the development of digital literacy in research and open science. financial and resource constraints, this includes limited funding for training programs and the lack of specialized teaching materials and platforms for open science education. ",,"the country’s research ecosystem is still in its early stages of development, with limited institutional frameworks for research evaluation. there is no structured mechanism for assessing research performance based on open science criteria. universities and research institutions face resource constraints, including a lack of funding, digital infrastructure, and trained personnel to implement new research evaluation systems. Many researchers still rely on traditional assessment methods, often based on academic theses and project reports, rather than open-access publications, data sharing, or public engagement. awareness and policy integration of open science remain limited. ","research career evaluation frameworks are still underdeveloped in the country. Academic institutions primarily assess faculty and researchers based on traditional criteria, such as teaching performance and completed research projects, rather than open science contributions. There is no standardized mechanism to evaluate researchers based on open-access publishing, data sharing, or engagement with non-academic stakeholders. the absence of a national research funding system and limited institutional support for scientific research create obstacles to recognizing and rewarding open science practices. Researchers often lack incentives to engage in interdisciplinary collaboration, open-access dissemination, or public engagement, as these efforts are not yet formally valued in career progression policies. ",,"primarily related to the lack of a robust legal and institutional framework to regulate research dissemination and data sharing. One of the main concerns is the risk of misuse or misinterpretation of research findings. Since open access allows unrestricted access to research outputs, there have been instances where data and findings were used without proper context, leading to potential misrepresentation of scientific knowledge. This is particularly relevant in areas such as public health and environmental research, where inaccurate interpretations could influence policy decisions or public perception. Another challenge is the lack of intellectual property (IP) protection and recognition for researchers. Many researchers in Timor-Leste have expressed concerns about their work being accessed and used without proper citation or acknowledgment. The absence of clear policies on research ownership and data governance increases the risk of unauthorized use of scientific outputs. Furthermore, limited digital infrastructure and cybersecurity risks pose challenges to open science practices… concerns about data security, privacy, and the long-term sustainability of these platforms have been raised. Without proper safeguards, there is a risk of data loss or unauthorized access to sensitive research information… Timor-Leste does not have a formal strategy or plan to prevent and mitigate these consequences.","scientific research infrastructure and funding remain limited, making it difficult to implement systematic changes that promote open science across all research stages. Most research activities in the country are still conducted on a small scale, often relying on external funding, which influences the methodologies and dissemination strategies used. there is no established national framework for open science governance. no specific policies that encourage participatory or transparent research processes, such as open peer review, citizen science, or collaborative research platforms. digital infrastructure and technical capacity remain underdeveloped, limiting the ability of researchers to engage in interactive research methodologies and collaborative knowledge production. Without adequate training and resources, the adoption of open science methodologies remains slow. ","lack of a national open science policy or regulatory framework that establishes guidelines for international collaboration. research infrastructure and funding remain limited, making it difficult to support open-access platforms, data-sharing initiatives, and capacity-building programs. Many researchers and institutions in the country also have limited awareness of open science practices, and there are few structured training initiatives to address this gap. collaboration between stakeholders remains informal and uncoordinated, with no centralized mechanism for engagement. ","country's limited participation in global and regional research funding frameworks, as well as the absence of a national open science policy that could facilitate engagement in such discussions. the research ecosystem is still developing, with most funding for scientific research coming from external sources, often allocated through bilateral or multilateral agreements rather than dedicated open science funding mechanisms. The lack of institutional capacity and technical expertise in managing open-access research funding further hinders participation in these discussions. ","the limited international research collaboration and funding opportunities specific to open science. As a small developing nation, Timor-Leste relies heavily on external funding for research, which is often tied to specific donor priorities rather than open science principles. Without dedicated financial mechanisms, the country struggles to invest in the necessary infrastructure for open access and data-sharing initiatives. Another major obstacle is the lack of regional frameworks for open science collaboration in Southeast Asia that explicitly include Timor-Leste. While some regional organizations promote scientific cooperation, Timor-Leste is not yet fully integrated into ASEAN’s science and technology initiatives, which limits opportunities for participation in broader open science networks and capacity-building programs. Furthermore, digital infrastructure and internet connectivity challenges pose significant barriers to the development of open-access repositories and data-sharing platforms. Many research institutions in Timor-Leste do not have the technical resources to implement large-scale open science initiatives, making it difficult to align with global standards. Lastly, language barriers and access to global scientific literature create additional difficulties. Much of the research published under open science frameworks is in English, whereas Timor-Leste primarily uses Tetum and Portuguese, limiting accessibility and engagement with international open science materials. "
Togo,,,,,,,,,,,,,,,,,,,,,"Inequality of access to funding, skills, and tools; Lack of political commitment to promote open science; Limited infrastructural capacity (poor internet access, lack of research databases, reliable data repositories, insufficient journals dedicated to open science, etc.); Limited institutional capacity to institutionalize open science; Lack of awareness of the benefits of open science; Lack of collaboration among different actors and partners within the Togolese education system; Low awareness among stakeholders of opportunities for open and distance learning; Lack of partnerships in the field of distance education. 1. Inequalities in Access to Funding, Skills, and Tools:  Research funding is mainly foreign in origin and highly competitive, with few national mechanisms dedicated to open science; Low level of proficiency in advanced digital tools (repository platforms, data analysis software, FAIR tools); Language barriers (French) sometimes limit access to resources and training that are often available in English. 2. Lack of Strong Political and Institutional Commitment: The absence of a national law on open science, an incentive-based regulatory framework, or specific university guidelines hinders the implementation of recommendations; Political priorities focused on access to basic education or employment, to the detriment of developing an open and high-performing scientific ecosystem. 3. Limited Infrastructural Capacity: Expensive, unstable, or uneven internet connectivity, particularly outside Lomé and major university cities; Scarcity of interoperable and standardized institutional repositories (e.g., no centralized national open archives); Limited presence of nationally indexed or open access scientific journals; Lack of reliable platforms for data sharing, open peer review, or citizen science. 4. Weak Institutional Capacity to Institutionalize Open Science: Universities and research centers have not yet integrated open science into their internal policies, nor established dedicated committees; Limited budget or qualified personnel to lead open science initiatives; Research evaluation still dominated by traditional indicators (number of publications, impact factor), with little alignment to open science values (reusability, openness, reproducibility). 5. Lack of Awareness of the Benefits of Open Science: Widespread lack of awareness among faculty members, doctoral students, and administrators regarding the tangible benefits (increased visibility, collaboration, citations, etc.); Lack of national champions or ambassadors to advocate for open science. 6. Insufficient Collaboration Among Actors in the Education and Scientific System: Limited or poorly coordinated synergies among ministries, universities, libraries, scholarly societies, and the private sector; Weak involvement of community actors, NGOs, or innovative companies in the co-production and open dissemination of knowledge. 7. Low Awareness of Open and Distance Learning Opportunities: Distance education (ODL) is undervalued and often perceived as an inferior substitute for face-to-face education; Absence of a national policy on Open Educational Resources (OER) or certified MOOCs. 8. Lack of Partnerships for the Development of Open Education: Few strategic collaborations with international universities or platforms to develop open, contextualized educational content in local languages or under Creative Commons licenses. 9. Outdated Legal and Regulatory Frameworks: Copyright laws, personal data management regulations, or the absence of a clear framework on open intellectual property hinder the free dissemination of research outputs. 10. Disconnect Between Sustainable Development Priorities and Open Scientific Practices: National agendas (health, agriculture, environment, etc.) are not yet aligned with open science policies that support the production and access to relevant data."
Tunisia,,,,,,,,,,,,,,,,,publications in predatory journals,,,,International commercial publishers impose high costs to publish in open access (APCs – Article Processing Charges). Making research data and results accessible largely depends on international funding.
Türkiye,,The infrastructure and institutions required to spread open science practices are still in the development stage. Investments and allocation of resources related to open science may not have been prioritized. Developing scientific policies sometimes requires long processes. Integrating a complex and wide-ranging issue such as open science into national policies can take time because strong cooperation and coordination between all stakeholders is required. Inter-institutional coordination is weak in Türkiye. It is difficult to find responsible people in institutions on any issue.,,obstacle to the creation of a broader policy framework in this field. The infrastructure and institutions required to spread open science practices are still in the development stage. Investments and allocation of resources related to open science may not have been prioritized. Developing scientific policies sometimes requires long processes. Integrating a complex and wide-ranging issue such as open science into national policies can take time because strong cooperation and coordination between all stakeholders is required.,,,,,,,,,,,,,,,,,
Uganda,"There is need for experts, high-level inter-ministerial involvement and funding which the National Commission may not be able to muster in its current configuration within one ministry.",,It may need some special expertise to develop the relevant policy instruments.,It may need some special expertise to develop the relevant policy instruments,,,,,,,,,,,,,,,,,
Ukraine,,,,,Budget financing options are limited due to the protracted war in the country.,,the war,,,,the war,low awareness of open science and restrictions of the state of war,war and low awareness of open science principles outside the circle of open science enthusiasts,,,The lack of infrastructure for open science (repositories of data) makes it impossible to introduce recognition and rewards. ,,current level of implementation of open science practices is low. ,the war,,
United Republic of Tanzania,,,,,,,,,,,,,,,,,,,,,"Financial constraints often limit funding for open science, as many funders continue to prioritize traditional research models. Inadequate digital infrastructure, particularly unreliable internet access, further hinders the effective implementation of open science practices. Additionally, existing national and regional policies may not fully support open science, creating regulatory obstacles. Some researchers are also hesitant to adopt open approaches due to concerns over intellectual property rights and data privacy. Compounding these challenges is a general lack of awareness and training on the benefits of open science..."
Uzbekistan,,,,,,,,,,,,,,,,,,,,,
